web-scraper-order;web-scraper-start-url;link;link-href;brand;product_name;category;price;rating;number_of_reviews;number_of_recommendations;repurchase_yes;repurchase_no;repurchase_maybe
1639403619-2156;https://www.sociolla.com/178-moisturizer?page=14;;https://www.sociolla.com/face-cream-lotion/10699-bio-gold-night-cream;Bio-essence;Bio Gold Night Cream;Bio Gold Night Cream;Rp 332.500Rp 252.700;04.03;-20;17;Yes (11);No (2);Maybe (7)
1639404075-2221;https://www.sociolla.com/178-moisturizer?page=10;;https://www.sociolla.com/face-oil/11807-oil-light-and-more;Huxley;Oil Light and More;Oil Light and More;Rp 490.000Rp 294.000;04.05;-27;27;Yes (15);No (1);Maybe (11)
1639403508-2140;https://www.sociolla.com/178-moisturizer?page=15;;https://www.sociolla.com/face-cream-lotion/9541-tea-tree-shine-control-and-blemish-clear-lotion;Naruko;Tea Tree Shine Control & Blemish Clear Lotion;Tea Tree Shine Control & Blemish Clear Lotion;Rp 326.000Rp 277.100;04.04;-87;79;Yes (53);No (12);Maybe (22)
1639403727-2171;https://www.sociolla.com/178-moisturizer?page=13;;https://www.sociolla.com/face-mist/47693-c-white-refreshing-essence-mist;Azarine;C White Refreshing Essence Mist;C White Refreshing Essence Mist;Rp45.000;04.05;-190;170;Yes (125);No (16);Maybe (49)
1639404555-2294;https://www.sociolla.com/178-moisturizer?page=6;;https://www.sociolla.com/face-cream-lotion/55051-scarlett-acne-night-cream;Scarlett Whitening;Scarlett Whitening  Acne Night Cream;Scarlett Whitening  Acne Night Cream;Rp 82.500Rp 74.250;04.06;-569;489;Yes (408);No (37);Maybe (124)
1639404613-2301;https://www.sociolla.com/178-moisturizer?page=5;;https://www.sociolla.com/face-cream-lotion/58570-blessing-of-sprout-vitality-cream;Hayejin;Blessing Of Sprout Vitality Cream;Blessing Of Sprout Vitality Cream;Rp 300.000Rp 199.000;04.07;-25;18;Yes (20);No (0);Maybe (5)
1639401199-1820;https://www.sociolla.com/178-moisturizer?page=37;;https://www.sociolla.com/face-cream-lotion/55539-cherry-blossom-tone-up-cream;Innisfree;Cherry Blossom tone up cream;Cherry Blossom tone up cream;Rp330.000;04.05;-26;17;Yes (15);No (4);Maybe (7)
1639403906-2196;https://www.sociolla.com/178-moisturizer?page=12;;https://www.sociolla.com/face-cream-lotion/9999-night-cream;Votre Peau;Night Cream;Night Cream;Rp 285.000Rp 199.500;04.05;-103;88;Yes (72);No (14);Maybe (17)
1639404391-2269;https://www.sociolla.com/178-moisturizer?page=7;;https://www.sociolla.com/face-oil/57401-bio-beauty-lab-face-oil-complete-set-20-ml;Bio Beauty Lab;Bio Beauty Lab Face Oil Complete Set - 20 ml;Bio Beauty Lab Face Oil Complete Set - 20 ml;Rp 640.000Rp 544.000;null;null;null;null;null;null
1639403099-2082;https://www.sociolla.com/178-moisturizer?page=19;;https://www.sociolla.com/face-cream-lotion/60107-beauty-day-and-night-repair-cream;Indoganic;Beauty Day & Night Repair cream;Beauty Day & Night Repair cream;Rp 169.000Rp 126.750;04.06;-4;4;Yes (3);No (0);Maybe (1)
1639402359-1985;https://www.sociolla.com/178-moisturizer?page=25;;https://www.sociolla.com/face-cream-lotion/55016-lng-white-dew-sherbet-cream-50ml-ol21;Laneige;LNG White Dew Sherbet Cream 50ml (OL21);LNG White Dew Sherbet Cream 50ml (OL21);Rp 966.000Rp 608.000;04.03;-2;1;Yes (2);No (0);Maybe (0)
1639402059-1943;https://www.sociolla.com/178-moisturizer?page=29;;https://www.sociolla.com/face-cream-lotion/60790-watermelon-bright-whitening-night-cream;Omniskin;Watermelon Bright Whitening Night Cream;Watermelon Bright Whitening Night Cream;Rp89.000;04.02;-2;0;Yes (1);No (0);Maybe (1)
1639404175-2236;https://www.sociolla.com/178-moisturizer?page=9;;https://www.sociolla.com/face-oil/57405-bio-beauty-lab-luxurious-face-oil-twinpack-20-ml;Bio Beauty Lab;Bio Beauty Lab Luxurious Face Oil Twinpack - 20 ml;Bio Beauty Lab Luxurious Face Oil Twinpack - 20 ml;Rp 640.000Rp 544.000;null;null;null;null;null;null
1639402196-1962;https://www.sociolla.com/178-moisturizer?page=27;;https://www.sociolla.com/face-cream-lotion/58611-dual-super-power-radiance-cream;Gilla8;DUAL SUPER POWER RADIANCE CREAM;DUAL SUPER POWER RADIANCE CREAM;Rp339.000;04.00;-1;1;Yes (0);No (0);Maybe (1)
