web-scraper-order;web-scraper-start-url;link;link-href;brand;product_name;category;price;rating;number_of_reviews;number_of_recommendations;repurchase_yes;repurchase_no;repurchase_maybe
1639394585-1174;https://www.sociolla.com/177-cleanser?page=4;;https://www.sociolla.com/makeup-remover/52087-make-up-remover-3-in-1-fresh-cleanser;Biore;Make up Remover 3 in 1 Fresh Cleanser;Make up Remover 3 in 1 Fresh Cleanser;Rp 100.000Rp 80.000;04.07;-63;54;Yes (54);No (2);Maybe (7)
1639392552-845;https://www.sociolla.com/177-cleanser?page=25;;https://www.sociolla.com/face-wash/16445-facial-wash-gel-aloe-vera;Herborist;Facial Wash Gel Aloe Vera;Facial Wash Gel Aloe Vera;Rp 29.200Rp 17.228;04.05;-42;36;Yes (27);No (8);Maybe (7)
1639392801-886;https://www.sociolla.com/177-cleanser?page=23;;https://www.sociolla.com/face-wash/10478-oily-cleanser-wash;Elsheskin;Oily Cleanser Wash;Oily Cleanser Wash;Rp 65.000Rp 63.700;04.03;-42;36;Yes (19);No (9);Maybe (14)
1639393844-1057;https://www.sociolla.com/177-cleanser?page=12;;https://www.sociolla.com/cleansing-wipes/27336-wipe-off-reusable-makeup-removing-towel;Rayou;Wipe Off reusable makeup removing towel;Wipe Off reusable makeup removing towel;Rp89.000;04.06;-14;13;Yes (11);No (0);Maybe (3)
1639392081-767;https://www.sociolla.com/177-cleanser?page=30;;https://www.sociolla.com/micellar-water/28995-nivea-hokkaido-rose-oil-infused-micellar-water-twinpack;Nivea;NIVEA Hokkaido Rose Oil-Infused Micellar Water Twinpack;NIVEA Hokkaido Rose Oil-Infused Micellar Water Twinpack;Rp 94.000Rp 79.900;null;null;null;null;null;null
1639394409-1146;https://www.sociolla.com/177-cleanser?page=6;;https://www.sociolla.com/cleansing-oil/52939-olive-and-rosemary-deep-cleansing-oil;Bloomka;Olive & Rosemary Deep Cleansing Oil;Olive & Rosemary Deep Cleansing Oil;Rp 109.000Rp 76.300;04.05;-28;24;Yes (19);No (3);Maybe (6)
1639393815-1052;https://www.sociolla.com/177-cleanser?page=12;;https://www.sociolla.com/cleansing-balm/57875-clean-it-zero-cleansing-balm-pore-clarifying;banila co.;Clean it Zero Cleansing Balm Pore Clarifying;Clean it Zero Cleansing Balm Pore Clarifying;Rp320.000;04.04;-7;7;Yes (6);No (0);Maybe (1)
1639392918-905;https://www.sociolla.com/177-cleanser?page=21;;https://www.sociolla.com/face-wash/23741-mini-charcoal-cleansing-foam;SNP;mini Charcoal Cleansing Foam;mini Charcoal Cleansing Foam;Rp 45.000Rp 38.250;04.06;-256;243;Yes (172);No (22);Maybe (62)
1639392596-853;https://www.sociolla.com/177-cleanser?page=25;;https://www.sociolla.com/face-wash/13017-unscented-sensitive-cream-cleanser-100-ml;Sensatia Botanicals;Unscented Sensitive Cream Cleanser - 100 ml;Unscented Sensitive Cream Cleanser - 100 ml;Rp150.000;04.06;-29;26;Yes (23);No (0);Maybe (6)
1639391993-752;https://www.sociolla.com/177-cleanser?page=31;;https://www.sociolla.com/face-wash/3586-double-bubble;Emina;Double bubble;Double bubble;;04.03;-703;582;Yes (311);No (204);Maybe (188)
1639392636-859;https://www.sociolla.com/177-cleanser?page=24;;https://www.sociolla.com/face-wash/23731-pure-daily-foaming-cleanser-deep-clean;Huangjisoo;Pure daily foaming cleanser Deep clean;Pure daily foaming cleanser Deep clean;Rp 399.000Rp 259.350;04.03;-6;6;Yes (3);No (0);Maybe (3)
1639393702-1033;https://www.sociolla.com/177-cleanser?page=13;;https://www.sociolla.com/face-wash/23607-deep-clean-foam-cleanser-whipping;A'pieu;Deep Clean Foam Cleanser (Whipping);Deep Clean Foam Cleanser (Whipping);Rp 69.000Rp 44.850;04.06;-99;94;Yes (56);No (3);Maybe (40)
1639393838-1056;https://www.sociolla.com/177-cleanser?page=12;;https://www.sociolla.com/cleansing-wipes/26458-blueberry-micellar-5-5-lip-and-eye-remover-pad;Frudia;Blueberry Micellar 5.5 Lip & Eye Remover Pad;Blueberry Micellar 5.5 Lip & Eye Remover Pad;Rp55.000;04.08;-3;3;Yes (3);No (0);Maybe (0)
1639393870-1061;https://www.sociolla.com/177-cleanser?page=12;;https://www.sociolla.com/face-wash/24226-lightening-whip-facial-foam;Wardah;Lightening Whip Facial Foam;Lightening Whip Facial Foam;Rp19.500;04.06;-642;616;Yes (383);No (35);Maybe (224)
1639394303-1130;https://www.sociolla.com/177-cleanser?page=7;;https://www.sociolla.com/face-wash/25251-perfect-whip-collagen-in;Senka;Perfect Whip Collagen in;Perfect Whip Collagen in;Rp 89.000Rp 70.310;04.06;-583;498;Yes (435);No (44);Maybe (104)
1639392243-797;https://www.sociolla.com/177-cleanser?page=28;;https://www.sociolla.com/makeup-remover/1446-lip-and-eye-makeup-remover-40-ml;Maybelline;Lip & Eye Makeup Remover 40 ml;Lip & Eye Makeup Remover 40 ml;Rp 41.500Rp 32.370;04.05;-65;60;Yes (48);No (5);Maybe (12)
1639392529-841;https://www.sociolla.com/177-cleanser?page=25;;https://www.sociolla.com/face-wash/58197-elvicto-acne-face-wash;Elvicto;Elvicto Acne Face Wash;Elvicto Acne Face Wash;Rp80.000;null;null;null;null;null;null
1639394368-1141;https://www.sociolla.com/177-cleanser?page=7;;https://www.sociolla.com/face-wash/53087-face-cleanser-coconut;Love Beauty And Planet;Face Cleanser Coconut;Face Cleanser Coconut;Rp 65.000Rp 48.750;04.05;-50;40;Yes (32);No (8);Maybe (10)
1639393176-948;https://www.sociolla.com/177-cleanser?page=19;;https://www.sociolla.com/face-wash/56290-wash-on;HAUM;WASH ON;WASH ON;Rp 98.000 - Rp 125.000;04.05;-7;5;Yes (4);No (1);Maybe (2)
1639392557-846;https://www.sociolla.com/177-cleanser?page=25;;https://www.sociolla.com/face-wash/57906-smith-active-deep-face-cleanser-facial-wash;Smith Men Supply;Smith Active Deep Face Cleanser Facial Wash;Smith Active Deep Face Cleanser Facial Wash;Rp80.000;null;null;null;null;null;null
1639394379-1143;https://www.sociolla.com/177-cleanser?page=7;;https://www.sociolla.com/cleansing-gel/15994-oil-balancing-purifying-gel-cleanser;Sukin;Oil Balancing Purifying Gel Cleanser;Oil Balancing Purifying Gel Cleanser;Rp 175.000Rp 113.750;04.05;-44;34;Yes (29);No (3);Maybe (12)
1639393340-974;https://www.sociolla.com/177-cleanser?page=17;;https://www.sociolla.com/face-wash/52172-acneact-witch-hazel-and-bha-gentle-acne-facial-wash;Erha;Acneact Witch Hazel & BHA Gentle Acne Facial Wash;Acneact Witch Hazel & BHA Gentle Acne Facial Wash;Rp 108.900Rp 95.832;04.06;-37;29;Yes (27);No (3);Maybe (7)
