web-scraper-order;web-scraper-start-url;link;link-href;brand;product_name;category;price;rating;number_of_reviews;number_of_recommendations;repurchase_yes;repurchase_no;repurchase_maybe
1639388133-193;https://www.sociolla.com/179-treatment?page=41;;https://www.sociolla.com/toner/15253-new-ceramidin-liquid-;Dr Jart;New Ceramidin Liquid;New Ceramidin Liquid;Rp 550.000Rp 495.000;04.07;-6;6;Yes (5);No (0);Maybe (1)
1639387766-133;https://www.sociolla.com/179-treatment?page=45;;https://www.sociolla.com/eye-care/54570-klairs-fundamental-nourishing-eye-20g;Dear Klairs;Fundamental Nourishing Eye Butter;Fundamental Nourishing Eye Butter;Rp 350.000Rp 297.500;04.05;-5;4;Yes (2);No (0);Maybe (3)
1639391544-735;https://www.sociolla.com/179-treatment?page=2;;https://www.sociolla.com/peeling/9419-bio-peel-gauze-peeling-30-pads;Neogen Dermalogy;Bio Peel Gauze Peeling - 30 Pads;Bio Peel Gauze Peeling - 30 Pads;Rp 349.000Rp 296.650;04.05;(1,1k);1035;Yes (797);No (82);Maybe (248)
1639389848-470;https://www.sociolla.com/179-treatment?page=23;;https://www.sociolla.com/toner/58914-hydrating-essence-toner;Everwhite;Hydrating Essence Toner;Hydrating Essence Toner;Rp 101.200Rp 80.960;04.07;-12;5;Yes (9);No (0);Maybe (3)
1639390230-528;https://www.sociolla.com/179-treatment?page=19;;https://www.sociolla.com/face-serum/10808-special-divine-pearl-serum;Klavuu;Special Divine Pearl Serum;Special Divine Pearl Serum;Rp 799.000Rp 559.300;04.06;-50;47;Yes (30);No (7);Maybe (13)
1639388243-209;https://www.sociolla.com/179-treatment?page=40;;https://www.sociolla.com/eye-care/59129-hibiscus-firming-eye-serum;I trust nature;Hibiscus Firming Eye Serum;Hibiscus Firming Eye Serum;Rp179.000;04.07;-10;10;Yes (6);No (0);Maybe (4)
1639387951-164;https://www.sociolla.com/179-treatment?page=43;;https://www.sociolla.com/face-serum/60034-ceramide-calm-organic-oil;Kleveru;Ceramide Calm Organic Oil;Ceramide Calm Organic Oil;Rp 59.400 - Rp 123.200Rp 59.400 - Rp 110.880;04.06;-5;1;Yes (3);No (1);Maybe (1)
1639389173-357;https://www.sociolla.com/179-treatment?page=30;;https://www.sociolla.com/scrub-exfoliator/58425-calamansi-pore-stick-cleanser;the saem;Calamansi Pore Stick Cleanser;Calamansi Pore Stick Cleanser;Rp189.000;null;null;null;null;null;null
1639390440-561;https://www.sociolla.com/179-treatment?page=17;;https://www.sociolla.com/toner/54091-midnight-sky-bha-toner;Haple;Midnight Sky - BHA Toner;Midnight Sky - BHA Toner;Rp 129.000Rp 103.200;04.05;-30;23;Yes (19);No (3);Maybe (8)
1639390865-632;https://www.sociolla.com/179-treatment?page=12;;https://www.sociolla.com/eye-care/55697-steambase-daily-eyemask-silent-night-air-5pcs;Steambase;STEAMBASE WARMING EYEMASK - SILENT NIGHT AIR (5PCS);STEAMBASE WARMING EYEMASK - SILENT NIGHT AIR (5PCS);Rp 79.600Rp 71.640;05.00;-1;0;Yes (1);No (0);Maybe (0)
1639389295-376;https://www.sociolla.com/179-treatment?page=28;;https://www.sociolla.com/eye-care/10697-bio-gold-eye-power-illuminator;Bio-essence;Bio Gold Eye Power Illuminator;Bio Gold Eye Power Illuminator;Rp 332.500Rp 252.700;04.06;-22;19;Yes (16);No (2);Maybe (4)
1639388426-237;https://www.sociolla.com/179-treatment?page=37;;https://www.sociolla.com/toner/47725-radiance-facial-toner;Terra Beaute;Radiance Facial Toner;Radiance Facial Toner;Rp135.000;04.05;-15;15;Yes (10);No (0);Maybe (5)
1639387822-142;https://www.sociolla.com/179-treatment?page=44;;https://www.sociolla.com/toner/56913-bright-radiance-toner;Raiku;Bright Radiance Toner;Bright Radiance Toner;Rp 128.000Rp 102.400;04.08;-115;112;Yes (90);No (3);Maybe (22)
1639390912-640;https://www.sociolla.com/179-treatment?page=12;;https://www.sociolla.com/toner/9783-witchhazel-pore-clear-toner;Secret Key;Witchhazel Pore Clear Toner;Witchhazel Pore Clear Toner;Rp 120.000Rp 84.000;04.04;-397;323;Yes (195);No (69);Maybe (133)
1639391161-678;https://www.sociolla.com/179-treatment?page=9;;https://www.sociolla.com/face-serum/60736-acneact-post-acne-spot-serum;Erha;AcneAct Post Acne Spot Serum;AcneAct Post Acne Spot Serum;Rp129.000;05.00;-5;5;Yes (4);No (0);Maybe (1)
1639391067-664;https://www.sociolla.com/179-treatment?page=10;;https://www.sociolla.com/toner/25884-hydrium-watery-toner;COSRX;Hydrium Watery Toner;Hydrium Watery Toner;Rp 99.000 - Rp 225.000Rp 74.250 - Rp 157.500;04.06;-576;506;Yes (410);No (30);Maybe (136)
1639389020-332;https://www.sociolla.com/179-treatment?page=31;;https://www.sociolla.com/eye-care/57705-serum-mata-roll-on-retinol-menyamarkan-kerutan-halus;Breylee;Serum Mata Roll On Retinol - Menyamarkan Kerutan Halus;Serum Mata Roll On Retinol - Menyamarkan Kerutan Halus;Rp 80.000Rp 48.000;04.04;-54;37;Yes (20);No (1);Maybe (33)
1639391385-711;https://www.sociolla.com/179-treatment?page=5;;https://www.sociolla.com/face-serum/26010-acne-pore-expert-5x-intensive-mask;Rojukiss;Acne Pore Expert 5X Serum Mask;Acne Pore Expert 5X Serum Mask;Rp 21.000Rp 14.700;04.07;-592;526;Yes (474);No (18);Maybe (100)
1639390568-582;https://www.sociolla.com/179-treatment?page=15;;https://www.sociolla.com/face-serum/57713-elsheskin-radiant-supple-serum;Elsheskin;Radiant Supple Serum;Radiant Supple Serum;Rp 215.000Rp 161.250;04.06;-420;377;Yes (290);No (14);Maybe (116)
1639391398-713;https://www.sociolla.com/179-treatment?page=5;;https://www.sociolla.com/toner/59836-acne-essence-toner;Scarlett Whitening;Scarlett Whitening Acne Essence Toner;Scarlett Whitening Acne Essence Toner;Rp 82.500Rp 74.250;04.08;-49;28;Yes (39);No (3);Maybe (7)
1639387374-80;https://www.sociolla.com/179-treatment?page=48;;https://www.sociolla.com/toner/15251-v7-toning-light;Dr Jart;V7 Toning Light;V7 Toning Light;Rp 675.000Rp 607.500;null;null;null;null;null;null
1639389784-459;https://www.sociolla.com/179-treatment?page=23;;https://www.sociolla.com/ampoule/61619-noni-probiotics-calm-me-down-ampoule;NPure;Noni Probiotics “Calm Me Down” Ampoule;Noni Probiotics “Calm Me Down” Ampoule;Rp89.000;04.09;-32;11;Yes (31);No (0);Maybe (1)
1639389253-370;https://www.sociolla.com/179-treatment?page=29;;https://www.sociolla.com/nose-pack/13416-the-nose-pack;Osho;The Nose Pack;The Nose Pack;Rp 150.000Rp 69.000;04.02;-36;30;Yes (16);No (6);Maybe (14)
1639391462-723;https://www.sociolla.com/179-treatment?page=4;;https://www.sociolla.com/eye-care/24660-masker-mata-steam-eye-mask-box-5-pcs;MegRhythm;Masker Mata Steam Eye Mask Box - 5 pcs;Masker Mata Steam Eye Mask Box - 5 pcs;Rp 74.600Rp 58.188;04.06;-619;559;Yes (509);No (17);Maybe (93)
1639389107-346;https://www.sociolla.com/179-treatment?page=30;;https://www.sociolla.com/eye-care/47689-eye-feel-good-gel-creme;Innertrue;Eye Feel Good Gel Crème;Eye Feel Good Gel Crème;Rp 130.000Rp 104.000;04.04;-38;32;Yes (16);No (7);Maybe (15)
1639388266-213;https://www.sociolla.com/179-treatment?page=40;;https://www.sociolla.com/toner/58312-pha-peeling-toner;Benton;PHA Peeling Toner;PHA Peeling Toner;Rp 370.000Rp 222.000;05.00;-3;2;Yes (3);No (0);Maybe (0)
1639389064-339;https://www.sociolla.com/179-treatment?page=31;;https://www.sociolla.com/toner/13020-calming-chamomile-facial-toner-120-ml;Sensatia Botanicals;Calming Chamomile Facial Toner - 120 ml;Calming Chamomile Facial Toner - 120 ml;Rp 160.000Rp 128.000;04.04;-35;31;Yes (21);No (7);Maybe (7)
1639388801-298;https://www.sociolla.com/179-treatment?page=33;;https://www.sociolla.com/essence/11806-essence-grab-water;Huxley;Essence Grab Water;Essence Grab Water;Rp 490.000Rp 294.000;04.06;-75;74;Yes (56);No (4);Maybe (15)
1639391207-685;https://www.sociolla.com/179-treatment?page=8;;https://www.sociolla.com/acne-blemish-treatments/15018-acne-pimple-master-patch;COSRX;Acne Pimple Master Patch;Acne Pimple Master Patch;Rp 55.000Rp 38.500;04.05;(3,8k);3429;Yes (2,8k);No (239);Maybe (732)
1639388676-277;https://www.sociolla.com/179-treatment?page=35;;https://www.sociolla.com/face-serum/60785-watermelon-glow-waterfull-whitening-serum;Omniskin;Watermelon Glow Waterfull Whitening Serum;Watermelon Glow Waterfull Whitening Serum;Rp119.000;04.08;-3;1;Yes (2);No (0);Maybe (1)
1639389214-363;https://www.sociolla.com/179-treatment?page=29;;https://www.sociolla.com/face-serum/15900-acid-complex-serum;Bhumi;Acid Complex Serum;Acid Complex Serum;Rp307.050;04.06;-21;20;Yes (16);No (3);Maybe (2)
