web-scraper-order;web-scraper-start-url;link;link-href;brand;product_name;category;price;rating;number_of_reviews;number_of_recommendations;repurchase_yes;repurchase_no;repurchase_maybe
1639398798-1607;https://www.sociolla.com/2303-mask?page=14;;https://www.sociolla.com/peel-off-mask/60068-blackhead-remover-mask;Azarine;Blackhead Remover Mask;Blackhead Remover Mask;Rp50.000;04.09;-287;118;Yes (275);No (1);Maybe (11)
1639397242-1373;https://www.sociolla.com/2303-mask?page=29;;https://www.sociolla.com/sheet-mask/14799-my-orchard-squeeze-mask-raspberry;Frudia;My Orchard Squeeze Mask Raspberry;My Orchard Squeeze Mask Raspberry;Rp22.000;04.03;-12;12;Yes (9);No (1);Maybe (2)
1639398826-1612;https://www.sociolla.com/2303-mask?page=14;;https://www.sociolla.com/sheet-mask/10231-pore-clear-black-charcoal-mask;PureHeals;Pore Clear Black Charcoal Mask;Pore Clear Black Charcoal Mask;Rp25.000;04.04;-25;21;Yes (18);No (2);Maybe (5)
1639398855-1617;https://www.sociolla.com/2303-mask?page=14;;https://www.sociolla.com/sheet-mask/11450-serum-mask-light-complete;Garnier;Serum Mask - Light Complete;Serum Mask - Light Complete;Rp 20.900Rp 18.810;04.06;(2,1k);1987;Yes (1,6k);No (101);Maybe (359)
1639396363-1234;https://www.sociolla.com/2303-mask?page=38;;https://www.sociolla.com/skincare/53950-my-skin-matte-face-mask-magnolia-and-lemon;YOU Makeups;My Skin Matte Face Mask Magnolia & Lemon;My Skin Matte Face Mask Magnolia & Lemon;Rp 15.000Rp 12.750;03.06;-3;2;Yes (0);No (1);Maybe (2)
1639399057-1650;https://www.sociolla.com/2303-mask?page=12;;https://www.sociolla.com/sheet-mask/9262-serum-mask;Garnier;Garnier Hydrabomb Serum Mask;Garnier Hydrabomb Serum Mask;Rp 20.900Rp 18.810;04.05;(5,3k);5065;Yes (4,1k);No (332);Maybe (866)
1639399168-1667;https://www.sociolla.com/2303-mask?page=11;;https://www.sociolla.com/mask/23762-one-night-rescue-adults-exfoliate-dull-skin;LULULUN;One Night Rescue Adults - Exfoliate Dull Skin;One Night Rescue Adults - Exfoliate Dull Skin;Rp 45.000Rp 33.750;04.05;-13;11;Yes (9);No (0);Maybe (4)
1639399276-1684;https://www.sociolla.com/2303-mask?page=10;;https://www.sociolla.com/sheet-mask/57390-set-of-5-watermelon-hydro-glow-sheet-mask;Ariul;Set of 5 Watermelon Hydro Glow Sheet Mask;Set of 5 Watermelon Hydro Glow Sheet Mask;Rp 105.000Rp 73.500;null;null;null;null;null;null
1639398590-1575;https://www.sociolla.com/2303-mask?page=16;;https://www.sociolla.com/sheet-mask/11434-hydrabomb-lavender-oil;Garnier;Garnier Hydrabomb Serum Mask Lavender;Garnier Hydrabomb Serum Mask Lavender;Rp 20.900Rp 18.810;04.06;(1,2k);1124;Yes (961);No (60);Maybe (166)
1639396357-1233;https://www.sociolla.com/2303-mask?page=38;;https://www.sociolla.com/skincare/53951-my-skin-matte-face-mask-chamomile-and-strawberry;YOU Makeups;My Skin Matte Face Mask Chamomile & Strawberry;My Skin Matte Face Mask Chamomile & Strawberry;Rp 15.000Rp 12.750;04.02;-8;7;Yes (4);No (1);Maybe (3)
1639397699-1437;https://www.sociolla.com/2303-mask?page=25;;https://www.sociolla.com/clay-mask/54575-some-by-mi-super-matcha-pore-clay-mask-100g;Some By Mi;Super Matcha Pore Clean Clay Mask;Super Matcha Pore Clean Clay Mask;Rp350.000;04.06;-117;84;Yes (79);No (10);Maybe (28)
1639397523-1414;https://www.sociolla.com/2303-mask?page=27;;https://www.sociolla.com/sheet-mask/13795-whats-wrong-help-cicaderm-mask;Frudia;Whats Wrong Help Cicaderm Mask;Whats Wrong Help Cicaderm Mask;Rp49.000;04.06;-10;10;Yes (9);No (0);Maybe (1)
